Title,Status,Date,Role,Pros,Cons,Advice to Management,Ratings
Innovative environment,Current Employee,2024-04-19,Language Content Developer,Innovative projects and smart coworkers,Management can be disconnected,Listen more to employee feedback,2.9
Tough but rewarding,Current Employee,2024-05-14,Customer Support,Flexible working hours,Lack of career growth,Focus on long-term vision,3.6
Needs better structure,Current Employee,2025-12-16,Product Manager,Transparency in decision making,Too many meetings,Invest more in career development,3.4
Not for everyone,Former Employee,2024-05-27,Marketing Specialist,Great work-life balance,Salaries below industry standard,Empower mid-level managers,3.9
Fast-paced and exciting,Former Employee,2025-04-03,Software Engineer,Flexible working hours,Sometimes chaotic planning,Balance innovation with stability,4.2
Too many changes,Current Employee,2025-09-30,Product Manager,Amazing perks and benefits,Sometimes chaotic planning,Listen more to employee feedback,4.2
Too many changes,Current Employee,2025-12-21,Engineering Manager,Remote work options,Sometimes chaotic planning,Listen more to employee feedback,3.6
Excellent leadership,Current Employee,2024-11-16,Product Manager,Supportive leadership team,Salaries below industry standard,Empower mid-level managers,4.6
Excellent leadership,Former Employee,2025-06-10,QA Tester,Great work-life balance,Limited upward mobility,Clarify team goals and direction,3.2
Great place to grow,Former Employee,2025-08-09,Product Manager,Learning and development opportunities,Not enough resources,Focus on long-term vision,3.4
Too many changes,Former Employee,2025-07-11,QA Tester,Great work-life balance,Sometimes chaotic planning,Clarify team goals and direction,2.6
Tough but rewarding,Former Employee,2025-02-04,Marketing Specialist,Transparency in decision making,Needs more diversity in leadership,Invest more in career development,2.8
Not for everyone,Former Employee,2024-05-22,QA Tester,Flexible working hours,Too many meetings,Focus on long-term vision,4.0
Great place to grow,Current Employee,2025-07-29,Data Scientist,Supportive leadership team,High pressure and fast-paced,Focus on long-term vision,2.3
Tough but rewarding,Former Employee,2024-03-22,Data Scientist,Learning and development opportunities,High pressure and fast-paced,Invest more in career development,2.1
Not for everyone,Former Employee,2024-09-24,Product Manager,Fun and mission-driven,Sometimes chaotic planning,Invest more in career development,3.5
Not for everyone,Current Employee,2025-11-11,Language Content Developer,Flexible working hours,Limited upward mobility,Keep up the great culture,2.9
Not for everyone,Current Employee,2024-06-29,QA Tester,Transparency in decision making,Management can be disconnected,Focus on long-term vision,3.7
Innovative environment,Former Employee,2024-09-03,QA Tester,Innovative projects and smart coworkers,Lack of career growth,Hire more diverse leaders,2.3
Supportive colleagues,Current Employee,2024-07-23,Customer Support,Collaborative team and open culture,Management can be disconnected,Hire more diverse leaders,4.2
